Rnd,number,Player,TFR_Points,Team,Opp,Minutes,Points,Tries,Seven_point_tries,Conversions_attempted,Conversions_successful,PK_attempted,PK_successful,Kicking_success_pct,Drop_kicks_attempted,Successful_drop_kicks,Carries,Metres_run,Metres_gained,Avg_metres_gained,Clean_breaks,Ball_carry_into_breakdown,Offloads,Defenders_beaten,Total_passes,Successful_passes,Pass_accuracy_pct,First_and_second_breakdown_arrivals,Third_breakdown_arrivals,Tackles_attempted,Tackles_made,Tackles_missed,Tackles_made_pct,Dominant_tackles,Offloads_in_tackle,Defensive_turnovers_won,Defensive_breakdown_arrivals,First_defending_breakdown_arrivals,Breakdown_turnovers_won,Turnovers_conceded,General_play_kicks,General_play_kick_errors,Penalties_conceded,Free_kicks_conceded,Yellow_cards,Red_cards,Try_assists,Def_bonus,Off_bonus
2,13,Tomasi Tonga,2.5,Utah Warriors,CHI,52,0,0,0,0,0,0,0,0,0,0,2,20,15,7,0,1,0,0,0,0,0,2,0,7,5,2,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
3,13,Ben LeSage,15.2,New England Free Jacks,NOLA,85,5,1,0,0,0,0,0,0,0,0,6,56,53,9,0,3,2,1,6,5,83,8,2,9,8,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0
3,13,Cassh Maluia,6.2,Chicago Hounds,OGDC,64,0,0,0,0,0,0,0,0,0,0,5,41,33,7,0,5,1,0,0,0,0,5,0,11,8,3,0,0,1,1,2,1,0,3,0,0,2,0,0,0,0,0,0
3,13,Divan Rossouw,11.4,Seattle Seawolves,UTAH,82,0,0,0,0,0,0,0,0,0,0,6,58,48,8,0,5,1,1,7,5,71,8,1,14,12,2,0,0,0,2,2,1,0,4,2,0,0,0,0,0,0,0,0
3,13,Ethan Grayson,12.7,San Diego Legion,LA,80,0,0,0,0,0,0,0,0,0,0,8,115,105,13,1,2,1,4,8,8,100,19,1,10,9,1,0,1,1,0,4,3,0,3,1,0,1,0,0,0,0,0,0
3,13,James Stokes,22.3,RFC Los Angeles,SDL,80,5,1,0,0,0,0,0,0,0,0,11,150,135,12,1,9,1,3,6,5,83,5,1,14,11,3,0,0,0,0,5,4,0,1,3,0,1,0,0,0,0,0,0
3,13,John Powers,1.7,Old Glory DC,CHI,49,0,0,0,0,0,0,0,0,0,0,2,7,7,4,0,2,0,0,2,2,100,8,1,7,5,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
3,13,JP Du Plessis,2.4,NOLA Gold,NEFJ,85,0,0,0,0,0,0,0,0,0,0,4,22,14,3,0,3,2,1,2,2,100,10,1,6,5,1,0,1,0,0,9,8,2,3,0,0,3,0,0,0,0,0,0
3,13,Louritz van der Schyff,12.4,Houston Sabercats,MIA,84,0,0,0,0,0,0,0,0,0,0,7,95,91,13,0,5,0,2,0,0,0,3,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,13,Mitch Richardson,14.6,Dallas Jackals,ARC,81,7,1,1,0,0,0,0,0,0,0,7,78,50,7,0,5,0,0,4,4,100,10,2,9,7,2,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0
3,13,Te Rangatira Waitokia,12,Anthem RC,DAL,81,0,0,0,0,0,0,0,0,0,0,9,91,79,9,1,6,2,2,10,9,90,4,0,10,7,3,0,0,0,0,2,1,0,2,1,0,1,0,0,0,1,0,0
3,13,Tomas Inciarte,-1.4,Miami Sharks,HOU,51,0,0,0,0,0,0,0,0,0,0,1,7,7,7,0,1,0,1,0,0,0,3,0,11,8,3,0,1,0,0,2,2,0,1,0,0,1,0,1,0,0,0,0
3,13,Zion Going,5.6,Utah Warriors,SEA,82,0,0,0,0,0,0,0,0,0,0,4,23,18,4,0,4,0,1,5,5,100,7,0,12,11,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
4,13,Ben LeSage,6.1,New England Free Jacks,CHI,82,0,0,0,0,0,0,0,0,0,0,4,35,32,8,0,1,0,1,1,1,100,3,0,15,8,7,0,1,2,0,0,0,0,1,1,1,0,0,0,0,0,0,0
4,13,Divan Rossouw,9.9,Seattle Seawolves,HOU,81,0,0,0,0,0,0,0,0,0,0,7,56,42,6,0,4,0,1,3,2,67,6,1,5,4,1,0,0,0,0,0,0,0,1,4,0,1,0,0,0,2,0,0
4,13,Ethan Grayson,6,San Diego Legion,OGDC,63,0,0,0,0,0,0,0,0,0,0,3,29,19,6,0,3,0,2,3,2,67,8,0,10,7,3,0,0,0,1,8,6,0,0,1,0,0,0,0,0,0,0,0
4,13,Guiseppe du Toit,6.8,Miami Sharks,ARC,85,0,0,0,0,0,0,0,0,0,0,6,48,45,7,0,5,1,2,4,4,100,4,1,6,6,0,0,0,0,0,3,2,0,1,1,0,0,0,0,0,0,0,0
4,13,JP Du Plessis,5.7,NOLA Gold,DAL,82,0,0,0,0,0,0,0,0,0,0,4,23,20,5,0,3,0,1,2,2,100,7,2,10,9,1,0,0,1,0,10,8,0,0,0,0,0,0,0,0,0,0,0
4,13,Mark O'Keeffe,18,Chicago Hounds,NEFJ,82,0,0,0,0,0,0,0,0,0,0,9,156,147,16,3,7,2,7,4,3,75,5,0,6,6,0,0,0,1,1,2,2,0,3,1,0,2,0,0,0,0,0,0
4,13,Mika Kruse,5.2,Utah Warriors,LA,81,0,0,0,0,0,0,0,0,0,0,2,19,13,7,0,2,0,0,6,5,83,11,0,4,3,1,0,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
4,13,Mitch Richardson,5,Dallas Jackals,NOLA,82,0,0,0,0,0,0,0,0,0,0,7,51,39,6,0,6,0,0,2,2,100,7,0,2,2,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
4,13,Tautalatasi Tasi,15.5,Houston Sabercats,SEA,81,5,1,0,0,0,0,0,0,0,0,3,75,73,24,0,2,0,2,0,0,0,2,1,12,9,3,0,1,0,4,3,3,0,1,0,0,1,0,0,0,0,0,0
